sample,heap_mb,airspace,pg_spots
0,39.1,225.0,395.0
1,43.3,225.0,395.0
2,42.7,225.0,395.0
3,39.2,225.0,394.0
4,52.0,226.0,393.0
5,52.4,226.0,393.0
6,50.1,226.0,393.0
7,46.9,225.0,394.0
8,42.7,226.0,393.0
9,40.4,226.0,392.0
10,37.4,225.0,387.0
11,51.7,224.0,383.0
12,52.4,222.0,382.0
13,45.4,221.0,382.0
14,45.7,221.0,382.0
15,51.3,220.0,375.0
16,54.0,221.0,371.0
17,53.6,221.0,366.0
18,54.7,221.0,366.0
19,47.1,220.0,367.0
20,45.5,220.0,365.0
21,54.7,220.0,360.0
22,52.9,221.0,359.0
23,54.7,223.0,357.0
24,52.0,218.0,356.0
25,52.1,216.0,356.0
26,52.1,218.0,355.0
27,52.8,220.0,354.0
28,53.8,220.0,353.0
29,54.2,218.0,353.0
30,41.4,218.0,353.0
31,31.3,219.0,352.0
32,46.5,219.0,351.0
33,49.6,215.0,350.0
34,38.2,210.0,347.0
35,44.1,209.0,340.0
36,40.1,207.0,333.0
37,44.3,204.0,332.0
38,36.4,202.0,330.0
39,43.6,202.0,330.0
40,37.6,201.0,329.0
41,39.2,200.0,327.0
42,34.4,200.0,327.0
43,45.4,201.0,323.0
44,32.8,202.0,321.0
45,46.4,203.0,314.0
46,35.8,196.0,310.0
47,43.9,193.0,295.0
48,57.1,192.0,296.0
49,46.2,192.0,296.0
50,34.5,192.0,293.0
51,35.2,189.0,287.0
52,42.3,188.0,282.0
53,32.7,187.0,281.0
54,44.3,187.0,279.0
55,31.7,186.0,276.0
56,49.7,183.0,274.0
57,63.7,180.0,272.0
58,44.3,180.0,273.0
59,33.1,180.0,274.0
60,44.7,181.0,274.0
61,42.4,183.0,275.0
62,54.4,183.0,276.0
63,41.3,185.0,276.0
64,38.2,188.0,281.0
65,56.1,189.0,284.0
66,40.9,189.0,285.0
67,42.0,189.0,285.0
68,53.8,189.0,289.0
69,43.1,193.0,295.0
70,36.2,192.0,297.0
71,48.6,193.0,299.0
72,54.1,199.0,309.0
73,38.8,199.0,309.0
74,46.4,202.0,313.0
75,40.6,203.0,317.0
76,42.2,203.0,324.0
77,35.0,204.0,325.0
78,41.8,203.0,331.0
79,32.1,203.0,334.0
80,29.9,206.0,335.0
81,45.7,206.0,335.0
82,38.0,206.0,337.0
83,45.3,207.0,341.0
84,35.7,207.0,348.0
85,39.4,209.0,351.0
86,31.9,213.0,354.0
87,48.3,213.0,354.0
88,51.5,213.0,354.0
89,37.8,213.0,355.0
90,45.0,213.0,354.0
91,33.9,212.0,355.0
92,45.3,211.0,358.0
93,36.3,211.0,358.0
94,54.4,212.0,357.0
95,29.4,215.0,360.0
96,37.7,217.0,360.0
97,32.3,216.0,361.0
98,53.8,216.0,363.0
99,45.3,218.0,366.0
100,46.3,222.0,370.0
101,41.9,224.0,375.0
102,45.5,230.0,378.0
103,47.8,235.0,378.0
104,47.4,235.0,378.0
105,52.5,234.0,379.0
106,53.1,235.0,383.0
107,48.0,235.0,383.0
108,60.0,235.0,383.0
109,54.1,236.0,383.0
110,46.4,239.0,380.0
111,42.3,241.0,380.0
112,33.7,241.0,380.0
113,56.8,239.0,379.0
114,52.1,239.0,378.0
115,49.7,238.0,373.0
116,47.4,238.0,372.0
117,50.7,239.0,373.0
118,49.6,238.0,371.0
119,45.7,238.0,373.0
120,46.0,238.0,374.0
121,46.3,238.0,374.0
122,50.4,234.0,374.0
123,48.5,233.0,377.0
124,49.4,233.0,376.0
125,36.4,234.0,376.0
126,47.7,234.0,382.0
127,66.8,234.0,385.0
128,59.1,235.0,390.0
129,50.6,233.0,397.0
130,49.7,235.0,397.0
131,50.5,236.0,398.0
132,61.2,235.0,401.0
133,47.0,235.0,404.0
134,48.1,248.0,412.0
135,46.8,249.0,414.0
136,48.2,249.0,414.0
137,47.4,252.0,418.0
138,48.7,254.0,420.0
139,47.2,252.0,420.0
140,49.6,255.0,420.0
141,47.4,254.0,421.0
142,32.1,255.0,421.0
143,56.3,254.0,423.0
144,50.4,257.0,425.0
145,50.7,258.0,421.0
