sample,heap_mb,airspace,pg_spots
0,25.0,1.0,16.0
1,26.5,1.0,16.0
2,17.9,1.0,16.0
3,21.0,1.0,16.0
4,24.6,1.0,16.0
5,32.8,1.0,16.0
6,20.9,1.0,16.0
7,25.8,1.0,16.0
8,30.0,1.0,16.0
9,18.7,1.0,16.0
10,24.0,1.0,16.0
11,29.2,1.0,16.0
12,33.5,1.0,16.0
13,21.3,1.0,16.0
14,26.4,1.0,16.0
15,32.4,1.0,16.0
16,19.5,1.0,16.0
17,25.2,1.0,16.0
18,29.5,1.0,16.0
19,34.1,1.0,16.0
20,22.2,1.0,16.0
21,27.6,1.0,16.0
22,32.5,1.0,16.0
23,20.3,1.0,16.0
24,25.9,1.0,16.0
25,31.0,1.0,16.0
26,19.6,1.0,16.0
27,27.8,1.0,16.0
28,19.8,1.0,16.0
29,24.9,1.0,16.0
30,30.2,1.0,16.0
31,18.6,1.0,16.0
32,26.7,1.0,16.0
33,31.3,1.0,16.0
34,20.8,1.0,16.0
35,25.4,1.0,16.0
36,32.4,1.0,16.0
37,20.3,1.0,16.0
38,27.5,1.0,16.0
39,32.6,1.0,16.0
40,21.4,1.0,16.0
41,27.0,1.0,16.0
42,33.8,1.0,16.0
43,25.2,1.0,16.0
44,30.4,1.0,16.0
45,34.8,1.0,16.0
46,23.7,1.0,16.0
47,32.2,1.0,16.0
48,20.7,1.0,16.0
49,27.9,1.0,16.0
50,34.0,1.0,16.0
51,25.6,1.0,16.0
52,31.3,1.0,16.0
53,21.1,1.0,16.0
54,26.7,1.0,16.0
55,31.5,1.0,16.0
56,21.2,1.0,16.0
57,29.8,1.0,16.0
58,20.8,1.0,16.0
59,24.7,1.0,16.0
60,32.3,1.0,16.0
61,21.6,1.0,16.0
62,27.4,1.0,16.0
63,17.7,1.0,16.0
64,23.7,1.0,16.0
65,29.3,1.0,16.0
66,19.0,1.0,16.0
67,26.9,1.0,16.0
68,19.9,1.0,16.0
69,29.0,1.0,16.0
70,20.0,1.0,16.0
71,28.1,1.0,16.0
72,18.8,1.0,16.0
73,25.4,1.0,16.0
74,33.3,1.0,16.0
75,23.1,1.0,16.0
76,27.9,1.0,16.0
77,19.1,1.0,16.0
78,23.4,1.0,16.0
79,30.8,1.0,16.0
80,19.1,1.0,16.0
81,24.9,1.0,16.0
82,33.1,1.0,16.0
83,21.8,1.0,16.0
84,29.5,1.0,16.0
85,35.1,1.0,16.0
86,23.8,1.0,16.0
87,27.5,1.0,16.0
88,33.0,1.0,16.0
89,19.5,1.0,16.0
90,22.3,1.0,16.0
