sample,heap_mb,airspace,pg_spots
0,27.7,122.0,13.0
1,33.9,122.0,13.0
2,39.7,124.0,13.0
3,22.1,124.0,13.0
4,32.8,123.0,13.0
5,36.0,122.0,13.0
6,35.8,121.0,13.0
7,30.5,123.0,14.0
8,32.3,125.0,14.0
9,33.2,125.0,14.0
10,26.9,125.0,14.0
11,41.1,125.0,14.0
12,33.1,125.0,14.0
13,28.8,125.0,14.0
14,23.0,125.0,14.0
15,35.9,125.0,14.0
16,26.9,125.0,14.0
17,41.5,125.0,14.0
18,35.3,125.0,14.0
19,27.8,125.0,14.0
20,42.0,125.0,14.0
21,38.3,125.0,14.0
22,26.0,125.0,14.0
23,38.6,125.0,14.0
24,30.8,125.0,14.0
25,26.5,125.0,14.0
26,36.5,125.0,14.0
27,30.6,125.0,14.0
28,22.8,125.0,14.0
29,32.9,125.0,14.0
30,23.7,125.0,14.0
31,36.5,125.0,14.0
32,25.1,125.0,14.0
33,37.9,125.0,14.0
34,30.4,125.0,14.0
35,43.6,125.0,14.0
